Character,Topic Number,Weight
Ada,Topic 1,0.018965517
Annette,Topic 1,0.044159544
Claire,Topic 1,0.000801
Irons,Topic 1,0.535532995
Kendo,Topic 1,0.085365854
Leon,Topic 1,0.004078303
Marvin,Topic 1,0.00617284
Sherry,Topic 1,0.031707317
William,Topic 1,0.096153846
Ada,Topic 2,0.012068966
Annette,Topic 2,0.007122507
Claire,Topic 2,0.201121795
Irons,Topic 2,0.002538071
Kendo,Topic 2,0.134146341
Leon,Topic 2,0.129690049
Marvin,Topic 2,0.043209877
Sherry,Topic 2,0.602439024
William,Topic 2,0.096153846
Ada,Topic 3,0.098275862
Annette,Topic 3,0.078347578
Claire,Topic 3,0.46875
Irons,Topic 3,0.002538071
Kendo,Topic 3,0.012195122
Leon,Topic 3,0.07096248
Marvin,Topic 3,0.018518519
Sherry,Topic 3,0.085365854
William,Topic 3,0.019230769
Ada,Topic 4,0.001724138
Annette,Topic 4,0.004273504
Claire,Topic 4,0.000801
Irons,Topic 4,0.002538071
Kendo,Topic 4,0.012195122
Leon,Topic 4,0.004078303
Marvin,Topic 4,0.648148148
Sherry,Topic 4,0.002439024
William,Topic 4,0.019230769
Ada,Topic 5,0.260344828
Annette,Topic 5,0.158119658
Claire,Topic 5,0.012019231
Irons,Topic 5,0.017766497
Kendo,Topic 5,0.134146341
Leon,Topic 5,0.039967374
Marvin,Topic 5,0.00617284
Sherry,Topic 5,0.012195122
William,Topic 5,0.019230769
Ada,Topic 6,0.339655172
Annette,Topic 6,0.018518519
Claire,Topic 6,0.002403846
Irons,Topic 6,0.002538071
Kendo,Topic 6,0.182926829
Leon,Topic 6,0.007340946
Marvin,Topic 6,0.166666667
Sherry,Topic 6,0.153658537
William,Topic 6,0.557692308
Ada,Topic 7,0.005172414
Annette,Topic 7,0.57977208
Claire,Topic 7,0.048878205
Irons,Topic 7,0.043147208
Kendo,Topic 7,0.036585366
Leon,Topic 7,0.008972268
Marvin,Topic 7,0.055555556
Sherry,Topic 7,0.007317073
William,Topic 7,0.134615385
Ada,Topic 8,0.105172414
Annette,Topic 8,0.018518519
Claire,Topic 8,0.082532051
Irons,Topic 8,0.002538071
Kendo,Topic 8,0.280487805
Leon,Topic 8,0.113376835
Marvin,Topic 8,0.030864198
Sherry,Topic 8,0.002439024
William,Topic 8,0.019230769
Ada,Topic 9,0.118965517
Annette,Topic 9,0.047008547
Claire,Topic 9,0.008814103
Irons,Topic 9,0.002538071
Kendo,Topic 9,0.012195122
Leon,Topic 9,0.563621533
Marvin,Topic 9,0.018518519
Sherry,Topic 9,0.002439024
William,Topic 9,0.019230769
Ada,Topic 10,0.039655172
Annette,Topic 10,0.044159544
Claire,Topic 10,0.173878205
Irons,Topic 10,0.388324873
Kendo,Topic 10,0.109756098
Leon,Topic 10,0.057911909
Marvin,Topic 10,0.00617284
Sherry,Topic 10,0.1
William,Topic 10,0.019230769
