Topic Number,Weight,Keywords
1,0.5,eyes walking they’ll man things night yeah good sleep corpse coming sounds freeze started home i’ve handing life’s gettin wife 
2,0.5,we’re stop that’s let’s fuck hold alive i’ll sir trust move you’ll nest doctor bring birkin thinking orders supposed samples 
3,0.5,claire good marvin that’s hell find thing jesus ada station there’s he’s alright leave hold key coming police damn lieutenant 
4,0.5,i’m it’s leon you’re can’t back hey make huh safe i’ve brother dammit hand end care hope promise run they’re 
5,0.5,don’t stay hurt time william work daughter umbrella worse told hear card mommy sherry’s world tie stupid glad pendant asshole 
6,0.5,stop bitch save you’ll show important wake thought happen hands secret mess we’ll careful business i’d taught couldn’t dead honestly 
7,0.5,sherry yeah god gotta shit gonna i’ll hey fucking outta wait fine what’s happened we’re kidding alright worry car cop 
8,0.5,g-virus didn’t annette she’s city sample gonna umbrella’s fbi case call raccoon facility virus police lab responsible people leon free 
9,0.5,detonation minutes solution attention sequence nest initiated lockdown neutralized target detected complete cooling dispensing staff required self-destruct level access clearance 
10,0.5,open mom hurry whoa gotta give east found marvin door calm alright story buddy hide daddy move c’mon r.p.d.—minutes touchdown 
