Weight,Word
10,ada
10,i’m
10,i’ll
10,hold
10,can’t
10,police
10,move
10,that’s
10,dead
10,hear
10,radio
10,glove
10,alive
10,escape
10,wouldn’t
10,creature
10,team
10,happening
10,meantime
10,put
3,claire
3,i'm
3,leon
3,mom
3,stop
3,work
3,coming
3,heard
3,guy
3,daddy
3,switch
3,matter
3,care
3,stomach
3,call
3,there's
3,train
3,hurts
3,rely
3,spent
3,leon
3,find
3,stay
3,i'll
3,g-virus
3,give
3,umbrella
3,we've
3,shoot
3,save
3,working
3,fine
3,sherry's
3,run
3,arrived
3,plant
3,telling
3,office
3,mine’s
3,reach
10,claire
10,hey
10,job
10,name's
10,we’re
10,gonna
10,stay
10,lot
10,beginning
10,touch
10,maniac’s
10,nice
10,kennedy
10,buckle
10,rest
10,worked
10,unconscious
10,crazy
10,missed
10,lab
2,i'm
2,town
2,girl
2,made
2,you've
2,leave
2,running
2,true
2,i'd
2,hurry
2,happened
2,monster
2,tracks
2,case
2,brain
2,putting
2,manner
2,miserably
2,monitor
2,protect
1,william
1,g-virus
1,husband
1,birkin
1,t-virus
1,don’t
1,care
1,man
1,information
1,human
1,pendant
1,close
1,obtain
1,she’s
1,gullible
1,talking
1,earlier
1,revitalize
1,wound
1,happened
1,that's
1,i'm
1,told
1,isn't
1,monsters
1,couldn't
1,shut
1,longer
1,i've
1,die
1,zombies
1,home
1,cover
1,product
1,superior
1,understand
1,hobby
1,decapitating
1,hour
1,putrefy
1,city
1,zombies
1,time
1,truth
1,hole
1,ventilation
1,thought
1,worry
1,station
1,infested
1,entire
1,noticed
1,freeze
1,background
1,worse
1,car
1,keycard
1,eye
1,keeping
1,girly
7,meet
7,great
7,station
7,it’s
7,box
7,day
7,radio’s
7,safer
7,it’ll
7,wound
7,man
7,key
7,forget
7,lie
7,treat
7,secret
7,umbrella’s
7,rpd
7,longer
7,reason
5,don't
5,it's
5,you're
5,back
5,wait
5,what's
5,finally
5,can't
5,safe
5,worry
5,let's
5,won't
5,wrong
5,dangerous
5,place
5,redfield
5,you’re
5,leaving
5,called
5,chief
5,don’t
5,what’s
5,inside
5,there’s
5,things
5,make
5,thing
5,easy
5,let’s
5,officer
5,goodbye
5,entrance
5,locked
5,crawling
5,chemical
5,lose
5,good
5,cell
5,isn’t
5,security
1,john
1,i’ve
1,wong
1,told
1,john’s
1,chicago
1,heard
1,ben
1,capable
1,body
1,woman
1,i'm
1,enjoy
1,short
1,injuries
1,slow
1,found
1,patch
1,bad
1,offspring
1,ability
1,he's
1,that's
1,mother
1,don't
1,husband's
1,girlfriend
1,specifically
1,reason
1,operatives
1,where’s
1,prior
1,transformation
1,functions
1,cellular
1,taking
1,steal
1,fault
1,regret
1,password
2,sherry
2,i've
2,brother
2,wake
2,annette
2,found
2,chris
2,cop
2,piece
2,embryos
2,happened
2,gun
2,insane
2,antidote
2,sewer
2,left
2,pupate
2,follow
2,it'll
2,corridor
7,wait
7,ben
7,yeah
7,open
7,hang
7,mention
7,head
7,ram
7,huh
7,door
7,zombies
7,leave
7,guess
7,sewers
7,worried
7,stupid
7,answer
7,split
7,end
7,trouble
1,hand
1,danger
1,disappeared
1,work
1,life’s
1,you’ve
1,precious
1,sheer
1,perfection
1,finally
1,dropped
1,caring
1,period
1,you’ll
1,sooner
1,quiet
1,talk
1,shaft
1,upstairs
1,rumors
1,i’m
1,won’t
1,kennel
1,police
1,cell
1,back
1,pay
1,scum
1,co-conspirator
1,chief
1,irony
1,bitter
1,sewer
1,lead
1,manhole
1,leaving
1,aren’t
1,heck
1,zombies
1,leave
1,bio-weapon
1,umbrella
1,ultimate
1,turn
1,bullet
1,daughter
1,skin
1,precinct
1,tearing
1,figured
1,haven't
1,project
1,genius
1,humans
1,agent
1,beautiful
1,destroyed
1,possibly
1,everyone's
1,letting
1,ago
1,months
1,stars
1,chris
1,hall
1,doors
1,unlock
1,rooms
1,rescue
1,believed
1,lives
1,members
1,outskirts
1,located
1,mansion
1,involving
1,incident
1,survivors
1,discovered
1,guy
1,you’re
1,research
1,it’s
1,building
1,you're
1,lost
1,remember
1,sample
1,spy
1,aren't
1,die
1,discovered
1,agency
1,legacy
1,husband’s
1,didn’t
1,murdered
1,memories
1,result
1,darling
